  PID TTY           TIME CMD
    1 ??         0:12.50 /sbin/launchd
   38 ??         0:00.56 /usr/sbin/syslogd
   39 ??         0:00.66 /usr/libexec/UserEventAgent (System)
   42 ??         0:00.36 /System/Library/PrivateFrameworks/Uninstall.framework/Resources/uninstalld
   43 ??         0:01.65 /usr/libexec/kextd
   44 ??         0:03.29 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd
   46 ??         0:00.68 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoted
   49 ??         0:00.21 /System/Library/CoreServices/appleeventsd --server
   50 ??         0:00.96 /usr/sbin/systemstats --daemon
   52 ??         0:00.81 /usr/libexec/configd
   53 ??         0:03.85 /System/Library/CoreServices/powerd.bundle/powerd
   56 ??         0:08.32 /usr/libexec/logd
   57 ??         0:00.02 /usr/libexec/keybagd -t 15
   63 ??         0:06.80 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Support/mds
   64 ??         0:00.13 /System/Library/CoreServices/iconservicesd
   65 ??         0:00.55 /usr/libexec/diskarbitrationd
   68 ??         0:00.17 /System/Library/CoreServices/backupd.bundle/Contents/Resources/backupd-helper -launchd
   69 ??         0:00.71 /usr/libexec/coreduetd
   72 ??         0:04.94 /usr/libexec/opendirectoryd
   74 ??         0:00.03 /System/Library/PrivateFrameworks/Noticeboard.framework/Versions/A/Resources/nbstated
   75 ??         0:03.89 /System/Library/CoreServices/launchservicesd
   76 ??         0:00.21 /usr/libexec/timed
   77 ??         0:00.58 /usr/sbin/securityd -i
   78 ??         0:00.05 /System/Library/PrivateFrameworks/MobileDevice.framework/Versions/A/Resources/usbmuxd -launchd
   80 ??         0:02.75 /usr/libexec/locationd
   81 ??         0:00.02 autofsd
   82 ??         0:02.57 /usr/libexec/displaypolicyd -k 1
   83 ??         0:01.10 /usr/libexec/dasd
   86 ??         0:02.99 /System/Library/CoreServices/loginwindow.app/Contents/MacOS/loginwindow console
   87 ??         0:00.05 /System/Library/CoreServices/logind
   88 ??         0:00.22 /System/Library/PrivateFrameworks/GenerationalStorage.framework/Versions/A/Support/revisiond
   89 ??         0:00.02 /usr/sbin/KernelEventAgent
   91 ??         0:00.84 /usr/sbin/bluetoothd
   92 ??         0:49.28 /usr/libexec/hidd
   93 ??         0:00.56 /usr/libexec/sandboxd
   94 ??         0:00.17 /usr/libexec/corebrightnessd --launchd
   95 ??         0:00.32 /usr/libexec/AirPlayXPCHelper
   96 ??         0:01.99 /usr/sbin/notifyd
   97 ??         0:00.19 /usr/sbin/distnoted daemon
   98 ??         0:00.36 /usr/libexec/syspolicyd
   99 ??         0:01.04 /usr/sbin/cfprefsd daemon
  101 ??         0:00.47 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/authd.xpc/Contents/MacOS/authd
  102 ??         0:01.18 /System/Library/CoreServices/coreservicesd
  109 ??         0:03.17 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/contextstored
  110 ??         0:00.03 aslmanager
  116 ??         0:02.41 /usr/libexec/trustd
  119 ??         0:00.02 /System/Library/Frameworks/PCSC.framework/Versions/A/XPCServices/com.apple.ctkpcscd.xpc/Contents/MacOS/com.apple.ctkpcscd
  121 ??         0:00.45 /usr/libexec/lsd runAsRoot
  125 ??         0:00.03 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd -s
  126 ??         0:00.13 /usr/libexec/nehelper
  128 ??         0:03.28 /usr/libexec/airportd
  131 ??         0:01.83 /usr/sbin/coreaudiod
